array,shape,dtype,raw_rebuild_sha256,full_npz_sha256,train_expected_sha256,train_npz_sha256,test_expected_sha256,test_npz_sha256,status
X,"(14875, 6, 4096)",<f4,22553322b7990af3abeba9ab849acb52a2809bf134f98468a37c61b0b26a2aae,22553322b7990af3abeba9ab849acb52a2809bf134f98468a37c61b0b26a2aae,5fa8d39a339f22c1adf44976193ec5453c689d0697bf46b178291133965c9536,5fa8d39a339f22c1adf44976193ec5453c689d0697bf46b178291133965c9536,503b2407762bd9e694c4d3eaeb6cfa977fb27ca6ebe53f267bf7f495d52143d9,503b2407762bd9e694c4d3eaeb6cfa977fb27ca6ebe53f267bf7f495d52143d9,PASS
windows,"(14875, 6, 4096)",<f4,22553322b7990af3abeba9ab849acb52a2809bf134f98468a37c61b0b26a2aae,22553322b7990af3abeba9ab849acb52a2809bf134f98468a37c61b0b26a2aae,5fa8d39a339f22c1adf44976193ec5453c689d0697bf46b178291133965c9536,5fa8d39a339f22c1adf44976193ec5453c689d0697bf46b178291133965c9536,503b2407762bd9e694c4d3eaeb6cfa977fb27ca6ebe53f267bf7f495d52143d9,503b2407762bd9e694c4d3eaeb6cfa977fb27ca6ebe53f267bf7f495d52143d9,PASS
y,"(14875,)",<i8,5075f126005f4edb9ac299ec93b4afaa0043ea4c517b90f76e5a55640f8aa57f,5075f126005f4edb9ac299ec93b4afaa0043ea4c517b90f76e5a55640f8aa57f,b5a2526e4d6bc1695a5e1e5dee102aefdbe8055a5ba375e55b913f1fcba56bb5,b5a2526e4d6bc1695a5e1e5dee102aefdbe8055a5ba375e55b913f1fcba56bb5,265eaf1b66502377cae27911e98d21a65f9f216e5d55658f70e9f8d41f90fa0a,265eaf1b66502377cae27911e98d21a65f9f216e5d55658f70e9f8d41f90fa0a,PASS
file_index,"(14875,)",<i4,28fafc2959253c8718ed9593ac4700aa038b26594fed6fdb80e628305917956d,28fafc2959253c8718ed9593ac4700aa038b26594fed6fdb80e628305917956d,c2c88f0bfca452ef28558869c5b7e892ff91826682b3d2664e6549c897cf4e86,c2c88f0bfca452ef28558869c5b7e892ff91826682b3d2664e6549c897cf4e86,d3c7c2be7bfcc55d0909700cb4f48fc82388af2b40c1b4130d1ca2b1abdd4572,d3c7c2be7bfcc55d0909700cb4f48fc82388af2b40c1b4130d1ca2b1abdd4572,PASS
start_sample,"(14875,)",<i4,93d5c7978a4164c22491e7fab4b46883a2bddfe993555d8417e8707b95b5b9e6,93d5c7978a4164c22491e7fab4b46883a2bddfe993555d8417e8707b95b5b9e6,d74eed10c063f949f950cbebc06da6dfe7b4db39269a3c760ecacb72120e3728,d74eed10c063f949f950cbebc06da6dfe7b4db39269a3c760ecacb72120e3728,4e9bf061a72440a17ef8236c2d1a26b8ff2bcd0b2922a5226518fb105754f035,4e9bf061a72440a17ef8236c2d1a26b8ff2bcd0b2922a5226518fb105754f035,PASS
speed_hz,"(14875,)",<i4,c97129f42e5c5dab736b5738121035ee119a307a74694df1b43a3e9e1452feec,c97129f42e5c5dab736b5738121035ee119a307a74694df1b43a3e9e1452feec,65e6b1ef621b8134f0ff10f99f1a9e29e20ebac4cef530da55ceebb0dc4d4d97,65e6b1ef621b8134f0ff10f99f1a9e29e20ebac4cef530da55ceebb0dc4d4d97,8b45f19c9dfce827f48e141059ccf2160bd9ecb19aaed5c5dd43a15594b20e4f,8b45f19c9dfce827f48e141059ccf2160bd9ecb19aaed5c5dd43a15594b20e4f,PASS
load_mv,"(14875,)",<i4,2d323fd78c47fdbf996c7be74556f222755b1c234d14ad3f632d6e6d57dffb87,2d323fd78c47fdbf996c7be74556f222755b1c234d14ad3f632d6e6d57dffb87,a8e046fa5367d36edd35e758eabfbe357f86609601c0afd4223ed63ecbeaf340,a8e046fa5367d36edd35e758eabfbe357f86609601c0afd4223ed63ecbeaf340,a10c19eaacf5552b81e294784784681dd05ac14dd852b806c6c335c1dbd0f718,a10c19eaacf5552b81e294784784681dd05ac14dd852b806c6c335c1dbd0f718,PASS
nominal_load_n,"(14875,)",<i4,db2c089b5d042d7fbb636089e91b32016f048de36dda1a4c7a55e330287c50e3,db2c089b5d042d7fbb636089e91b32016f048de36dda1a4c7a55e330287c50e3,442244f7de9109fde53b82dd95265cb3788c7a6ab8c4d8921a1da408189c6e84,442244f7de9109fde53b82dd95265cb3788c7a6ab8c4d8921a1da408189c6e84,80624ac84fcd8402d6e3261fe5e231d8fe4c878b4dfa7b54976f67767b375d98,80624ac84fcd8402d6e3261fe5e231d8fe4c878b4dfa7b54976f67767b375d98,PASS
severity_um,"(14875,)",<i4,448efa12d67e2e86ff17f2c896adb275ecbc3b86ea0f53677ba67f52e18650b9,448efa12d67e2e86ff17f2c896adb275ecbc3b86ea0f53677ba67f52e18650b9,649ab89d49444101760d3922c24d5c497c2e99f7a9ff7e262d0fe01f98bf6a9b,649ab89d49444101760d3922c24d5c497c2e99f7a9ff7e262d0fe01f98bf6a9b,fbe760d7b4338754af5a835344ccae9606beef323558ad3649b9839eaf212800,fbe760d7b4338754af5a835344ccae9606beef323558ad3649b9839eaf212800,PASS
damage_location_id,"(14875,)",<i4,3e44cb991d5388ef2d95b909296793a025dd03fd67b07961cfdb46c5b348f905,3e44cb991d5388ef2d95b909296793a025dd03fd67b07961cfdb46c5b348f905,c726b7c4760d91771823c48a97a363b36138fb8a1380e1451e0e41241b9e9343,c726b7c4760d91771823c48a97a363b36138fb8a1380e1451e0e41241b9e9343,a3837e52be6bd89232c436ea6cef3e2ff3d18e6caf089665c6dacc3a4846cd38,a3837e52be6bd89232c436ea6cef3e2ff3d18e6caf089665c6dacc3a4846cd38,PASS
