group,bytes,sha256,scope,root,path,role,keeper_path
D00001,42185304,af82c619c06f9f27a025b3ba8556149d208f91949a445b8e0a4bcb502dc187ed,runs,milling_inner_attack_2026-07-08_rule_rms_smoke,breeze/runs/milling_inner_attack_2026-07-08_rule_rms_smoke/berkeley/rule/verifier_c90.json,KEEPER,breeze/runs/milling_inner_attack_2026-07-08_rule_rms_smoke/berkeley/rule/verifier_c90.json
D00001,42185304,af82c619c06f9f27a025b3ba8556149d208f91949a445b8e0a4bcb502dc187ed,runs,milling_inner_attack_2026-07-08_v1,breeze/runs/milling_inner_attack_2026-07-08_v1/berkeley/llm_rescreen/verifier_c90.json,EXACT_DUPLICATE_CANDIDATE,breeze/runs/milling_inner_attack_2026-07-08_rule_rms_smoke/berkeley/rule/verifier_c90.json
D00001,42185304,af82c619c06f9f27a025b3ba8556149d208f91949a445b8e0a4bcb502dc187ed,runs,milling_inner_attack_2026-07-08_v1,breeze/runs/milling_inner_attack_2026-07-08_v1/berkeley/random_open_loop/verifier_c90.json,EXACT_DUPLICATE_CANDIDATE,breeze/runs/milling_inner_attack_2026-07-08_rule_rms_smoke/berkeley/rule/verifier_c90.json
D00001,42185304,af82c619c06f9f27a025b3ba8556149d208f91949a445b8e0a4bcb502dc187ed,runs,milling_inner_attack_2026-07-08_v1,breeze/runs/milling_inner_attack_2026-07-08_v1/berkeley/rule/verifier_c90.json,EXACT_DUPLICATE_CANDIDATE,breeze/runs/milling_inner_attack_2026-07-08_rule_rms_smoke/berkeley/rule/verifier_c90.json
D00002,42183221,3d99b8d36d40b474fbaf7d8cddcc06c57f7d395a26271170cb73be3822215847,runs,milling_generation_2026-07-08_llm_classfill_v1,breeze/runs/milling_generation_2026-07-08_llm_classfill_v1/berkeley/llm/verifier_c90.json,KEEPER,breeze/runs/milling_generation_2026-07-08_llm_classfill_v1/berkeley/llm/verifier_c90.json
D00002,42183221,3d99b8d36d40b474fbaf7d8cddcc06c57f7d395a26271170cb73be3822215847,runs,milling_generation_2026-07-08_llm_rescreen_v4,breeze/runs/milling_generation_2026-07-08_llm_rescreen_v4/berkeley/llm_rescreen/verifier_c90.json,EXACT_DUPLICATE_CANDIDATE,breeze/runs/milling_generation_2026-07-08_llm_classfill_v1/berkeley/llm/verifier_c90.json
D00002,42183221,3d99b8d36d40b474fbaf7d8cddcc06c57f7d395a26271170cb73be3822215847,runs,milling_generation_2026-07-08_llm_smoke_v3_compact,breeze/runs/milling_generation_2026-07-08_llm_smoke_v3_compact/berkeley/llm/verifier_c90.json,EXACT_DUPLICATE_CANDIDATE,breeze/runs/milling_generation_2026-07-08_llm_classfill_v1/berkeley/llm/verifier_c90.json
D00002,42183221,3d99b8d36d40b474fbaf7d8cddcc06c57f7d395a26271170cb73be3822215847,runs,milling_generation_2026-07-08_smoke_v7,breeze/runs/milling_generation_2026-07-08_smoke_v7/berkeley/random_open_loop/verifier_c90.json,EXACT_DUPLICATE_CANDIDATE,breeze/runs/milling_generation_2026-07-08_llm_classfill_v1/berkeley/llm/verifier_c90.json
D00002,42183221,3d99b8d36d40b474fbaf7d8cddcc06c57f7d395a26271170cb73be3822215847,runs,milling_generation_2026-07-08_smoke_v7,breeze/runs/milling_generation_2026-07-08_smoke_v7/berkeley/rule/verifier_c90.json,EXACT_DUPLICATE_CANDIDATE,breeze/runs/milling_generation_2026-07-08_llm_classfill_v1/berkeley/llm/verifier_c90.json
D00003,42170508,03900b36a7c7e25ff13dee9c171ec86d95f6a8236c0a89fd47dc9f0760c0e99d,runs,milling_inner_attack_2026-07-08_v11_repair_eq_coherent_30slots,breeze/runs/milling_inner_attack_2026-07-08_v11_repair_eq_coherent_30slots/berkeley/llm/verifier_c90.json,KEEPER,breeze/runs/milling_inner_attack_2026-07-08_v11_repair_eq_coherent_30slots/berkeley/llm/verifier_c90.json
