dataset,protocol,pool,class,n_pool,n_reference,metric,value
berkeley,Berkeley v2 binary,llm,healthy,20,629,tpf_amplitude_ratio_w1,0.01799412655
berkeley,Berkeley v2 binary,llm,healthy,20,629,rms_w1,0.3761197437
berkeley,Berkeley v2 binary,llm,healthy,20,629,psd_w1_mean,1.851000805
berkeley,Berkeley v2 binary,llm,healthy,20,629,band_energy_relative_error_mean,0.2041530803
berkeley,Berkeley v2 binary,llm,healthy,20,629,nn_diversity,2.602778974
berkeley,Berkeley v2 binary,llm,healthy,20,629,real_nn_diversity,15.1987644
berkeley,Berkeley v2 binary,llm,degraded,20,1207,tpf_amplitude_ratio_w1,0.028751002
berkeley,Berkeley v2 binary,llm,degraded,20,1207,rms_w1,0.5663043549
berkeley,Berkeley v2 binary,llm,degraded,20,1207,psd_w1_mean,2.920279567
berkeley,Berkeley v2 binary,llm,degraded,20,1207,band_energy_relative_error_mean,0.2369595129
berkeley,Berkeley v2 binary,llm,degraded,20,1207,nn_diversity,3.093431189
berkeley,Berkeley v2 binary,llm,degraded,20,1207,real_nn_diversity,14.42172605
berkeley,Berkeley v2 binary,rule,healthy,20,629,tpf_amplitude_ratio_w1,0.01034908599
berkeley,Berkeley v2 binary,rule,healthy,20,629,rms_w1,0.366441503
berkeley,Berkeley v2 binary,rule,healthy,20,629,psd_w1_mean,3.245105695
berkeley,Berkeley v2 binary,rule,healthy,20,629,band_energy_relative_error_mean,0.2512796798
berkeley,Berkeley v2 binary,rule,healthy,20,629,nn_diversity,11.05430218
berkeley,Berkeley v2 binary,rule,healthy,20,629,real_nn_diversity,15.1987644
berkeley,Berkeley v2 binary,rule,degraded,20,1207,tpf_amplitude_ratio_w1,0.02565438235
berkeley,Berkeley v2 binary,rule,degraded,20,1207,rms_w1,0.5583219615
berkeley,Berkeley v2 binary,rule,degraded,20,1207,psd_w1_mean,5.630316205
berkeley,Berkeley v2 binary,rule,degraded,20,1207,band_energy_relative_error_mean,0.2352461629
berkeley,Berkeley v2 binary,rule,degraded,20,1207,nn_diversity,16.52677648
berkeley,Berkeley v2 binary,rule,degraded,20,1207,real_nn_diversity,14.42172605
berkeley,Berkeley v2 binary,random_open_loop,healthy,20,629,tpf_amplitude_ratio_w1,0.01530912101
berkeley,Berkeley v2 binary,random_open_loop,healthy,20,629,rms_w1,0.5374749408
berkeley,Berkeley v2 binary,random_open_loop,healthy,20,629,psd_w1_mean,5.046297033
berkeley,Berkeley v2 binary,random_open_loop,healthy,20,629,band_energy_relative_error_mean,1.841743485
berkeley,Berkeley v2 binary,random_open_loop,healthy,20,629,nn_diversity,42.67367182
berkeley,Berkeley v2 binary,random_open_loop,healthy,20,629,real_nn_diversity,15.1987644
berkeley,Berkeley v2 binary,random_open_loop,degraded,20,1207,tpf_amplitude_ratio_w1,0.02885481246
berkeley,Berkeley v2 binary,random_open_loop,degraded,20,1207,rms_w1,0.6526900522
berkeley,Berkeley v2 binary,random_open_loop,degraded,20,1207,psd_w1_mean,6.663656725
berkeley,Berkeley v2 binary,random_open_loop,degraded,20,1207,band_energy_relative_error_mean,3.205960813
berkeley,Berkeley v2 binary,random_open_loop,degraded,20,1207,nn_diversity,36.43336758
berkeley,Berkeley v2 binary,random_open_loop,degraded,20,1207,real_nn_diversity,14.42172605
berkeley,Berkeley v2 binary,noise_aug,healthy,20,629,tpf_amplitude_ratio_w1,0.01152867471
berkeley,Berkeley v2 binary,noise_aug,healthy,20,629,rms_w1,0.1180656104
berkeley,Berkeley v2 binary,noise_aug,healthy,20,629,psd_w1_mean,10.46463711
berkeley,Berkeley v2 binary,noise_aug,healthy,20,629,band_energy_relative_error_mean,7.996137054
berkeley,Berkeley v2 binary,noise_aug,healthy,20,629,nn_diversity,33.37607518
berkeley,Berkeley v2 binary,noise_aug,healthy,20,629,real_nn_diversity,15.1987644
berkeley,Berkeley v2 binary,noise_aug,degraded,20,1207,tpf_amplitude_ratio_w1,0.01160811066
berkeley,Berkeley v2 binary,noise_aug,degraded,20,1207,rms_w1,0.1738705486
berkeley,Berkeley v2 binary,noise_aug,degraded,20,1207,psd_w1_mean,10.78344585
berkeley,Berkeley v2 binary,noise_aug,degraded,20,1207,band_energy_relative_error_mean,10.8917897
berkeley,Berkeley v2 binary,noise_aug,degraded,20,1207,nn_diversity,31.77908285
berkeley,Berkeley v2 binary,noise_aug,degraded,20,1207,real_nn_diversity,14.42172605
