dataset,protocol,pool,class,n_pool,n_reference,metric,value
cwru,CWRU within-load0,llm,healthy,20,83,rms_w1,0.001406427419
cwru,CWRU within-load0,llm,healthy,20,83,kurtosis_w1,0.1498866588
cwru,CWRU within-load0,llm,healthy,20,83,psd_w1_mean,31.28739953
cwru,CWRU within-load0,llm,healthy,20,83,band_energy_relative_error_mean,0.02754341628
cwru,CWRU within-load0,llm,healthy,20,83,nn_diversity,95.92118916
cwru,CWRU within-load0,llm,healthy,20,83,real_nn_diversity,10.09868617
cwru,CWRU within-load0,llm,IR,20,163,rms_w1,0.2099488305
cwru,CWRU within-load0,llm,IR,20,163,kurtosis_w1,5.353971905
cwru,CWRU within-load0,llm,IR,20,163,psd_w1_mean,82.11023001
cwru,CWRU within-load0,llm,IR,20,163,band_energy_relative_error_mean,0.1851035273
cwru,CWRU within-load0,llm,IR,20,163,nn_diversity,14994.55791
cwru,CWRU within-load0,llm,IR,20,163,real_nn_diversity,2.463237282
cwru,CWRU within-load0,llm,IR,20,163,envelope_frequency_alignment_error_hz,2.256165583
cwru,CWRU within-load0,llm,B,20,163,rms_w1,0.4840151945
cwru,CWRU within-load0,llm,B,20,163,kurtosis_w1,3.881218851
cwru,CWRU within-load0,llm,B,20,163,psd_w1_mean,75.17643539
cwru,CWRU within-load0,llm,B,20,163,band_energy_relative_error_mean,0.2461940344
cwru,CWRU within-load0,llm,B,20,163,nn_diversity,9876.061271
cwru,CWRU within-load0,llm,B,20,163,real_nn_diversity,3.757555652
cwru,CWRU within-load0,llm,B,20,163,envelope_frequency_alignment_error_hz,0.4657666667
cwru,CWRU within-load0,llm,OR,20,287,rms_w1,0.1936679443
cwru,CWRU within-load0,llm,OR,20,287,kurtosis_w1,7.865027948
cwru,CWRU within-load0,llm,OR,20,287,psd_w1_mean,128.5175634
cwru,CWRU within-load0,llm,OR,20,287,band_energy_relative_error_mean,0.4166961611
cwru,CWRU within-load0,llm,OR,20,287,nn_diversity,323.5227026
cwru,CWRU within-load0,llm,OR,20,287,real_nn_diversity,1.709809163
cwru,CWRU within-load0,llm,OR,20,287,envelope_frequency_alignment_error_hz,2.054948167
cwru,CWRU within-load0,rule,healthy,20,83,rms_w1,0.001548408371
cwru,CWRU within-load0,rule,healthy,20,83,kurtosis_w1,0.03629177708
cwru,CWRU within-load0,rule,healthy,20,83,psd_w1_mean,28.35906868
cwru,CWRU within-load0,rule,healthy,20,83,band_energy_relative_error_mean,0.07639795563
