dataset,pool,pool_path,pool_sha256,source_kind,class_id,source_index,rank
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,23,0
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,67,1
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,76,2
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,82,3
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,124,4
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,235,5
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,262,6
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,319,7
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,341,8
cwru,llm,breeze/runs/phaseB_cwru_within_load0_llm_full_v1_combined/pool.npz,fa8db6207706c1a7333758eda0022132efb7f24ffc03bc4674d6e097fa268d30,deterministic_metric_subsample_of_frozen_pool,0,355,9
