dataset,protocol,pool,class,n_pool,n_reference,metric,value
pu,PU Phase-A v2,llm,healthy,150,1200,rms_w1,0.00678454035
pu,PU Phase-A v2,llm,healthy,150,1200,kurtosis_w1,4.494772631
pu,PU Phase-A v2,llm,healthy,150,1200,psd_w1_mean,111.9424618
pu,PU Phase-A v2,llm,healthy,150,1200,band_energy_relative_error_mean,0.02214573859
pu,PU Phase-A v2,llm,healthy,150,1200,nn_diversity,24.18301665
pu,PU Phase-A v2,llm,healthy,150,1200,real_nn_diversity,9.812184725
pu,PU Phase-A v2,llm,OR,150,1202,rms_w1,0.01307038771
pu,PU Phase-A v2,llm,OR,150,1202,kurtosis_w1,0.8574568131
pu,PU Phase-A v2,llm,OR,150,1202,psd_w1_mean,445.2618132
pu,PU Phase-A v2,llm,OR,150,1202,band_energy_relative_error_mean,0.06442475568
pu,PU Phase-A v2,llm,OR,150,1202,nn_diversity,4.45216201
pu,PU Phase-A v2,llm,OR,150,1202,real_nn_diversity,2.620808051
pu,PU Phase-A v2,llm,OR,150,1202,envelope_frequency_alignment_error_hz,1.089703457
pu,PU Phase-A v2,llm,IR,150,1444,rms_w1,0.003163510522
pu,PU Phase-A v2,llm,IR,150,1444,kurtosis_w1,2.621690843
pu,PU Phase-A v2,llm,IR,150,1444,psd_w1_mean,153.5791521
pu,PU Phase-A v2,llm,IR,150,1444,band_energy_relative_error_mean,0.04625293898
pu,PU Phase-A v2,llm,IR,150,1444,nn_diversity,22.66672578
pu,PU Phase-A v2,llm,IR,150,1444,real_nn_diversity,8.080782964
pu,PU Phase-A v2,llm,IR,150,1444,envelope_frequency_alignment_error_hz,0.7685276822
pu,PU Phase-A v2,rule,healthy,150,1200,rms_w1,0.02775606638
pu,PU Phase-A v2,rule,healthy,150,1200,kurtosis_w1,4.447599335
pu,PU Phase-A v2,rule,healthy,150,1200,psd_w1_mean,73.52858684
pu,PU Phase-A v2,rule,healthy,150,1200,band_energy_relative_error_mean,0.06185985481
pu,PU Phase-A v2,rule,healthy,150,1200,nn_diversity,20.69827762
pu,PU Phase-A v2,rule,healthy,150,1200,real_nn_diversity,9.812184725
pu,PU Phase-A v2,rule,OR,150,1202,rms_w1,0.05284261033
pu,PU Phase-A v2,rule,OR,150,1202,kurtosis_w1,2.189934326
pu,PU Phase-A v2,rule,OR,150,1202,psd_w1_mean,634.5275882
pu,PU Phase-A v2,rule,OR,150,1202,band_energy_relative_error_mean,0.5754285893
pu,PU Phase-A v2,rule,OR,150,1202,nn_diversity,2.530250546
pu,PU Phase-A v2,rule,OR,150,1202,real_nn_diversity,2.620808051
pu,PU Phase-A v2,rule,OR,150,1202,envelope_frequency_alignment_error_hz,0.8164802065
pu,PU Phase-A v2,rule,IR,150,1444,rms_w1,0.01119220844
pu,PU Phase-A v2,rule,IR,150,1444,kurtosis_w1,3.636861195
pu,PU Phase-A v2,rule,IR,150,1444,psd_w1_mean,106.7646124
pu,PU Phase-A v2,rule,IR,150,1444,band_energy_relative_error_mean,0.06634449792
pu,PU Phase-A v2,rule,IR,150,1444,nn_diversity,19.37641391
pu,PU Phase-A v2,rule,IR,150,1444,real_nn_diversity,8.080782964
pu,PU Phase-A v2,rule,IR,150,1444,envelope_frequency_alignment_error_hz,0.2772697935
pu,PU Phase-A v2,random_open_loop,healthy,150,1200,rms_w1,0.02690473212
pu,PU Phase-A v2,random_open_loop,healthy,150,1200,kurtosis_w1,4.815559675
pu,PU Phase-A v2,random_open_loop,healthy,150,1200,psd_w1_mean,512.3257908
pu,PU Phase-A v2,random_open_loop,healthy,150,1200,band_energy_relative_error_mean,0.5660547881
pu,PU Phase-A v2,random_open_loop,healthy,150,1200,nn_diversity,67.36817313
pu,PU Phase-A v2,random_open_loop,healthy,150,1200,real_nn_diversity,9.812184725
pu,PU Phase-A v2,random_open_loop,OR,150,1202,rms_w1,0.01493391824
pu,PU Phase-A v2,random_open_loop,OR,150,1202,kurtosis_w1,1.414179094
pu,PU Phase-A v2,random_open_loop,OR,150,1202,psd_w1_mean,448.2418122
pu,PU Phase-A v2,random_open_loop,OR,150,1202,band_energy_relative_error_mean,0.7283432173
pu,PU Phase-A v2,random_open_loop,OR,150,1202,nn_diversity,13.9411377
pu,PU Phase-A v2,random_open_loop,OR,150,1202,real_nn_diversity,2.620808051
pu,PU Phase-A v2,random_open_loop,OR,150,1202,envelope_frequency_alignment_error_hz,1.323649957
pu,PU Phase-A v2,random_open_loop,IR,150,1444,rms_w1,0.03075383423
pu,PU Phase-A v2,random_open_loop,IR,150,1444,kurtosis_w1,0.7963343792
pu,PU Phase-A v2,random_open_loop,IR,150,1444,psd_w1_mean,587.7904079
pu,PU Phase-A v2,random_open_loop,IR,150,1444,band_energy_relative_error_mean,0.9516425455
pu,PU Phase-A v2,random_open_loop,IR,150,1444,nn_diversity,76.18659491
pu,PU Phase-A v2,random_open_loop,IR,150,1444,real_nn_diversity,8.080782964
pu,PU Phase-A v2,random_open_loop,IR,150,1444,envelope_frequency_alignment_error_hz,0.6235316265
pu,PU Phase-A v2,noise_aug,healthy,150,1200,rms_w1,0.00297316613
pu,PU Phase-A v2,noise_aug,healthy,150,1200,kurtosis_w1,0.371264863
pu,PU Phase-A v2,noise_aug,healthy,150,1200,psd_w1_mean,140.0706514
pu,PU Phase-A v2,noise_aug,healthy,150,1200,band_energy_relative_error_mean,0.005108399933
pu,PU Phase-A v2,noise_aug,healthy,150,1200,nn_diversity,69.79299434
pu,PU Phase-A v2,noise_aug,healthy,150,1200,real_nn_diversity,9.812184725
pu,PU Phase-A v2,noise_aug,OR,150,1202,rms_w1,0.006782334825
pu,PU Phase-A v2,noise_aug,OR,150,1202,kurtosis_w1,0.229249193
pu,PU Phase-A v2,noise_aug,OR,150,1202,psd_w1_mean,565.9873114
pu,PU Phase-A v2,noise_aug,OR,150,1202,band_energy_relative_error_mean,0.01837924087
pu,PU Phase-A v2,noise_aug,OR,150,1202,nn_diversity,4.227019046
pu,PU Phase-A v2,noise_aug,OR,150,1202,real_nn_diversity,2.620808051
pu,PU Phase-A v2,noise_aug,OR,150,1202,envelope_frequency_alignment_error_hz,3.042828457
pu,PU Phase-A v2,noise_aug,IR,150,1444,rms_w1,0.002811443159
pu,PU Phase-A v2,noise_aug,IR,150,1444,kurtosis_w1,0.2214162321
pu,PU Phase-A v2,noise_aug,IR,150,1444,psd_w1_mean,221.139901
pu,PU Phase-A v2,noise_aug,IR,150,1444,band_energy_relative_error_mean,0.01892199699
pu,PU Phase-A v2,noise_aug,IR,150,1444,nn_diversity,64.25917185
pu,PU Phase-A v2,noise_aug,IR,150,1444,real_nn_diversity,8.080782964
pu,PU Phase-A v2,noise_aug,IR,150,1444,envelope_frequency_alignment_error_hz,2.045385112
