dataset,pool,pool_path,pool_sha256,source_kind,class_id,source_index,rank
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,0,0
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,1,1
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,2,2
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,3,3
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,4,4
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,5,5
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,6,6
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,7,7
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,8,8
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,9,9
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,10,10
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,11,11
pu,llm,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/runs/phaseA_v2_balanced/phaseA_v2_llm_k3_B150.npz,2118c800dfe8986dbf80e95e076e646a6a72c70d946a0aaa86058c6d1d3a145c,frozen_balanced_pool,0,12,12
