dataset,protocol,pool,class,n_pool,n_reference,metric,value
pu,PU Phase-A v2,llm,healthy,20,1200,rms_w1,0.005203637596
pu,PU Phase-A v2,llm,healthy,20,1200,kurtosis_w1,4.483276971
pu,PU Phase-A v2,llm,healthy,20,1200,psd_w1_mean,101.4857861
pu,PU Phase-A v2,llm,healthy,20,1200,band_energy_relative_error_mean,0.04074262146
pu,PU Phase-A v2,llm,healthy,20,1200,nn_diversity,29.03408275
pu,PU Phase-A v2,llm,healthy,20,1200,real_nn_diversity,9.948624073
pu,PU Phase-A v2,llm,OR,20,1202,rms_w1,0.008231871338
pu,PU Phase-A v2,llm,OR,20,1202,kurtosis_w1,1.013275011
pu,PU Phase-A v2,llm,OR,20,1202,psd_w1_mean,515.9267179
pu,PU Phase-A v2,llm,OR,20,1202,band_energy_relative_error_mean,0.03708714998
pu,PU Phase-A v2,llm,OR,20,1202,nn_diversity,6.96037175
pu,PU Phase-A v2,llm,OR,20,1202,real_nn_diversity,2.661182244
pu,PU Phase-A v2,llm,OR,20,1202,envelope_frequency_alignment_error_hz,1.434434165
pu,PU Phase-A v2,llm,IR,20,1444,rms_w1,0.004951256871
pu,PU Phase-A v2,llm,IR,20,1444,kurtosis_w1,2.576399763
pu,PU Phase-A v2,llm,IR,20,1444,psd_w1_mean,148.1946133
pu,PU Phase-A v2,llm,IR,20,1444,band_energy_relative_error_mean,0.06046204191
pu,PU Phase-A v2,llm,IR,20,1444,nn_diversity,33.63228399
pu,PU Phase-A v2,llm,IR,20,1444,real_nn_diversity,8.228792198
pu,PU Phase-A v2,llm,IR,20,1444,envelope_frequency_alignment_error_hz,1.003065835
pu,PU Phase-A v2,rule,healthy,20,1200,rms_w1,0.02778426255
pu,PU Phase-A v2,rule,healthy,20,1200,kurtosis_w1,4.441256805
pu,PU Phase-A v2,rule,healthy,20,1200,psd_w1_mean,71.48164733
pu,PU Phase-A v2,rule,healthy,20,1200,band_energy_relative_error_mean,0.0615039928
pu,PU Phase-A v2,rule,healthy,20,1200,nn_diversity,39.78731416
pu,PU Phase-A v2,rule,healthy,20,1200,real_nn_diversity,9.948624073
pu,PU Phase-A v2,rule,OR,20,1202,rms_w1,0.05209839684
pu,PU Phase-A v2,rule,OR,20,1202,kurtosis_w1,2.318219646
pu,PU Phase-A v2,rule,OR,20,1202,psd_w1_mean,633.7702309
pu,PU Phase-A v2,rule,OR,20,1202,band_energy_relative_error_mean,0.5774863288
pu,PU Phase-A v2,rule,OR,20,1202,nn_diversity,3.33827832
pu,PU Phase-A v2,rule,OR,20,1202,real_nn_diversity,2.661182244
pu,PU Phase-A v2,rule,OR,20,1202,envelope_frequency_alignment_error_hz,0.8164802065
pu,PU Phase-A v2,rule,IR,20,1444,rms_w1,0.01142318978
pu,PU Phase-A v2,rule,IR,20,1444,kurtosis_w1,3.684748116
pu,PU Phase-A v2,rule,IR,20,1444,psd_w1_mean,102.2505957
pu,PU Phase-A v2,rule,IR,20,1444,band_energy_relative_error_mean,0.06179166885
pu,PU Phase-A v2,rule,IR,20,1444,nn_diversity,30.4840666
