dataset,pool,class,n_synthetic,n_reference,exact_copy_count,raw_nrmse_min,raw_nrmse_median,feature_distance_min,feature_distance_median,max_abs_xcorr,median_max_abs_xcorr
berkeley,llm,degraded,20,1207,0,0.4247706724,0.5341278346,11.75575573,14.01699458,0.9887041255,0.729996221
berkeley,llm,healthy,20,629,0,0.31039322,0.3895791366,11.38113732,12.08003557,0.9318488657,0.887874174
berkeley,noise_aug,degraded,20,1207,0,0.03472421002,0.1064641494,1.735955382,8.598193713,0.9994945121,0.9988988058
berkeley,noise_aug,healthy,20,629,0,0.04298347211,0.14011491,9.690257325,33.81311316,0.9994580899,0.9959281938
berkeley,random_open_loop,degraded,20,1207,0,1.494277007,4.692538477,46.12659458,98.72454093,0.8058539214,0.7222606155
berkeley,random_open_loop,healthy,20,629,0,3.925161852,6.218181062,48.59348262,141.8738601,0.825783258,0.733956166
berkeley,rule,degraded,20,1207,0,0.3366018686,0.4610674291,1.061043652,9.936580965,0.9985905695,0.9121986425
berkeley,rule,healthy,20,629,0,0.3326493281,0.4040128556,1.508642317,10.21672821,0.9693561021,0.9466597469
cwru,llm,B,20,163,0,0.1492427214,0.1548969235,2844.989874,36144.22426,0.2524212314,0.2171615121
cwru,llm,IR,20,163,0,0.649856056,0.6792775485,13641.12344,92798.41106,0.28091022,0.2348446115
cwru,llm,OR,20,287,0,0.7884488345,0.8072852219,256.5630374,1357.352701,0.3012968408,0.2699582808
cwru,llm,healthy,20,83,0,1.283573738,1.317493406,46.39609052,87.72112629,0.3003278835,0.2828190582
cwru,noise_aug,B,20,163,0,0.01839749783,0.01936571319,868.5678609,428779.6018,0.9999618676,0.989486291
cwru,noise_aug,IR,20,163,0,0.03740004772,0.04602456385,15315.98781,101711.0497,0.9997534628,0.9986565704
cwru,noise_aug,OR,20,287,0,0.03830226806,0.04198539484,181.8765926,1061.668829,0.9996908696,0.9983948387
cwru,noise_aug,healthy,20,83,0,0.2604519111,0.2713183744,572015.4098,1171594.766,0.9719382979,0.9656561162
cwru,rule,B,20,163,0,0.142211715,0.1513919734,3788.892878,32807.31066,0.240288396,0.2213186165
cwru,rule,IR,20,163,0,0.6103540408,0.6472562585,7115.342925,64655.2237,0.3197895435,0.2580698243
cwru,rule,OR,20,287,0,0.7745919746,0.8191552688,342.6530612,862.4783782,0.3468654788,0.2508074989
cwru,rule,healthy,20,83,0,0.9253709544,1.023868895,1156.28761,1632.957741,0.6705924341,0.6315254135
pu,llm,IR,150,1444,0,0.6571776071,0.9757977388,66.40798033,124.1532902,0.9968836894,0.6961248279
pu,llm,OR,150,1202,0,0.34780533,0.8559072235,4.472616491,10.41703815,0.9975092461,0.686476994
pu,llm,healthy,150,1200,0,0.4054057545,0.9549379855,66.73693381,103.0242123,0.9981259875,0.7226392912
pu,noise_aug,IR,150,1444,0,0.03173026445,0.04339561588,450.8766971,683.6166943,0.9996749519,0.9995559433
pu,noise_aug,OR,150,1202,0,0.02753989409,0.03806811885,15.86926593,21.29666308,0.9996618394,0.9995496898
pu,noise_aug,healthy,150,1200,0,0.03174641862,0.04366642778,665.0192567,823.6381079,0.9996291811,0.9995508106
pu,random_open_loop,IR,150,1444,0,0.5742628799,1.119432221,66.05428009,409.3228231,0.9967051633,0.717180969
pu,random_open_loop,OR,150,1202,0,0.3534468904,0.8196643518,7.671597725,27.65084512,0.9915469982,0.7338549266
pu,random_open_loop,healthy,150,1200,0,0.427521485,1.048639829,78.35197465,227.4607071,0.9957745054,0.7960822944
pu,rule,IR,150,1444,0,0.7436545627,0.986238147,81.17181575,142.7990061,0.9969294228,0.7096382732
pu,rule,OR,150,1202,0,0.4397625637,0.7532305778,7.032366397,10.54409341,0.9969328544,0.7034142919
pu,rule,healthy,150,1200,0,0.49979251,0.783942989,69.57645951,113.3300311,0.9967692478,0.7248194963
