dataset,protocol,split,n_real,metric,comparison,n_pairs,raw_p,holm_q_registered_family,holm_pass,global_bh_q,global_bh_pass,decision_agrees
PU,phaseA_v2,main_condition,5,acc,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,20,9.5367431640625e-07,1.9073486328125e-06,True,1.3510386149088542e-06,True,True
PU,phaseA_v2,main_condition,5,acc,phaseA_v2_llm_k3>phaseA_v2_rule,20,6.004678582070794e-05,6.004678582070794e-05,True,6.805302393013566e-05,True,True
PU,phaseA_v2,main_condition,5,macro_f1,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,20,9.5367431640625e-07,1.9073486328125e-06,True,1.3510386149088542e-06,True,True
PU,phaseA_v2,main_condition,5,macro_f1,phaseA_v2_llm_k3>phaseA_v2_rule,20,9.5367431640625e-07,1.9073486328125e-06,True,1.3510386149088542e-06,True,True
PU,phaseA_v2,main_condition,10,acc,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,20,4.422457510605951e-05,4.422457510605951e-05,True,5.1260302963841704e-05,True,True
PU,phaseA_v2,main_condition,10,acc,phaseA_v2_llm_k3>phaseA_v2_rule,20,9.5367431640625e-07,1.9073486328125e-06,True,1.3510386149088542e-06,True,True
PU,phaseA_v2,main_condition,10,macro_f1,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,20,9.5367431640625e-07,1.9073486328125e-06,True,1.3510386149088542e-06,True,True
PU,phaseA_v2,main_condition,10,macro_f1,phaseA_v2_llm_k3>phaseA_v2_rule,20,9.5367431640625e-07,1.9073486328125e-06,True,1.3510386149088542e-06,True,True
PU,phaseA_v2,main_condition,25,acc,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,20,9.5367431640625e-07,1.9073486328125e-06,True,1.3510386149088542e-06,True,True
PU,phaseA_v2,main_condition,25,acc,phaseA_v2_llm_k3>phaseA_v2_rule,20,5.1529611707403054e-05,5.1529611707403054e-05,True,5.905640892309114e-05,True,True
PU,phaseA_v2,main_condition,25,macro_f1,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,20,9.5367431640625e-07,1.9073486328125e-06,True,1.3510386149088542e-06,True,True
