baseline,model,n_real,seed,epochs,fold,heldout_file_id,n_train,n_val,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
real_only,simple_cnn,full,0,20,file_id_1,1,1316,421,0.9311163895486936,0.8837953801851025,0.9516539440203562,0.7289719626168224,0.9707602339181286,"[[187,4,0],[15,39,9],[0,1,166]]"
real_only,simple_cnn,10,0,20,file_id_1,1,30,421,0.14489311163895488,0.12595109978287547,0.0,0.07878787878787878,0.29906542056074764,"[[0,135,56],[0,13,50],[0,119,48]]"
real_only,simple_cnn,10,1,20,file_id_1,1,30,421,0.38004750593824227,0.19184652278177458,0.0,0.0,0.5755395683453237,"[[0,25,166],[0,0,63],[0,7,160]]"
real_only,simple_cnn,10,2,20,file_id_1,1,30,421,0.3752969121140142,0.18676122931442082,0.0,0.0,0.5602836879432624,"[[0,15,176],[0,0,63],[0,9,158]]"
real_only,simple_cnn,10,3,20,file_id_1,1,30,421,0.3159144893111639,0.24657678756039414,0.2,0.043243243243243246,0.4964871194379391,"[[23,73,95],[0,4,59],[16,45,106]]"
real_only,simple_cnn,10,4,20,file_id_1,1,30,421,0.3990498812351544,0.1931371853113761,0.010416666666666666,0.0,0.5689948892674617,"[[1,0,190],[0,0,63],[0,0,167]]"
real_only,simple_cnn,10,5,20,file_id_1,1,30,421,0.38004750593824227,0.20420447670901395,0.05,0.0,0.5626134301270418,"[[5,20,166],[0,0,63],[4,8,155]]"
real_only,simple_cnn,10,6,20,file_id_1,1,30,421,0.342042755344418,0.1811320754716981,0.0,0.0,0.5433962264150943,"[[0,35,156],[0,0,63],[0,23,144]]"
real_only,simple_cnn,10,7,20,file_id_1,1,30,421,0.28741092636579574,0.1800595238095238,0.0,0.0,0.5401785714285714,"[[0,94,97],[0,0,63],[0,46,121]]"
real_only,simple_cnn,10,8,20,file_id_1,1,30,421,0.19714964370546317,0.1674517879138341,0.06930693069306931,0.0,0.43304843304843305,"[[7,139,45],[0,0,63],[4,87,76]]"
real_only,simple_cnn,10,9,20,file_id_1,1,30,421,0.20190023752969122,0.15199534549186147,0.010362694300518135,0.0,0.44562334217506633,"[[1,127,63],[0,0,63],[1,82,84]]"
real_only,simple_cnn,25,0,20,file_id_1,1,75,421,0.3254156769596199,0.24632973231598299,0.2459016393442623,0.0,0.4930875576036866,"[[30,64,97],[0,0,63],[23,37,107]]"
real_only,simple_cnn,25,1,20,file_id_1,1,75,421,0.47030878859857483,0.35289553643385246,0.5099337748344371,0.0,0.5487528344671202,"[[77,24,90],[0,0,63],[34,12,121]]"
real_only,simple_cnn,25,2,20,file_id_1,1,75,421,0.38954869358669836,0.29531250000000003,0.3359375,0.0,0.55,"[[43,59,89],[0,0,63],[22,24,121]]"
real_only,simple_cnn,25,3,20,file_id_1,1,75,421,0.40380047505938244,0.3070670256091668,0.3927272727272727,0.0,0.5284738041002278,"[[54,44,93],[0,0,63],[30,21,116]]"
real_only,simple_cnn,25,4,20,file_id_1,1,75,421,0.24228028503562946,0.21385103323339938,0.23529411764705882,0.008438818565400843,0.3978201634877384,"[[28,98,65],[0,1,62],[19,75,73]]"
real_only,simple_cnn,25,5,20,file_id_1,1,75,421,0.35391923990498814,0.22412329566555253,0.10679611650485436,0.0,0.5655737704918032,"[[11,60,120],[0,0,63],[4,25,138]]"
real_only,simple_cnn,25,6,20,file_id_1,1,75,421,0.35629453681710216,0.18726591760299627,0.0,0.0,0.5617977528089888,"[[0,37,154],[0,0,63],[0,17,150]]"
real_only,simple_cnn,25,7,20,file_id_1,1,75,421,0.3681710213776722,0.22007852959208962,0.07920792079207921,0.0,0.5810276679841897,"[[8,54,129],[0,0,63],[3,17,147]]"
real_only,simple_cnn,25,8,20,file_id_1,1,75,421,0.36104513064133015,0.26145385538902444,0.22807017543859648,0.0,0.5562913907284768,"[[26,68,97],[0,0,63],[11,30,126]]"
real_only,simple_cnn,25,9,20,file_id_1,1,75,421,0.30403800475059384,0.22247357323391004,0.1651376146788991,0.0,0.502283105022831,"[[18,75,98],[0,0,63],[9,48,110]]"
real_only,simple_cnn,50,0,20,file_id_1,1,150,421,0.47030878859857483,0.37241819632881085,0.6201117318435754,0.0,0.49714285714285716,"[[111,47,33],[0,0,63],[56,24,87]]"
real_only,simple_cnn,50,1,20,file_id_1,1,150,421,0.5653206650831354,0.42487453675579007,0.6435331230283912,0.0,0.6310904872389791,"[[102,24,65],[0,0,63],[24,7,136]]"
real_only,simple_cnn,50,2,20,file_id_1,1,150,421,0.40617577197149646,0.31981529813290505,0.4300341296928328,0.0,0.5294117647058824,"[[63,58,70],[0,0,63],[39,20,108]]"
real_only,simple_cnn,50,3,20,file_id_1,1,150,421,0.41092636579572445,0.30581600644508816,0.35797665369649806,0.0,0.5594713656387665,"[[46,48,97],[0,0,63],[20,20,127]]"
real_only,simple_cnn,50,4,20,file_id_1,1,150,421,0.4014251781472684,0.30206043956043954,0.36153846153846153,0.0,0.5446428571428571,"[[47,48,96],[0,0,63],[22,23,122]]"
real_only,simple_cnn,50,5,20,file_id_1,1,150,421,0.43942992874109266,0.32802496150417376,0.3888888888888889,0.0,0.5951859956236324,"[[49,51,91],[0,0,63],[12,19,136]]"
real_only,simple_cnn,50,6,20,file_id_1,1,150,421,0.44655581947743467,0.33051063368219785,0.45051194539249145,0.0,0.541019955654102,"[[66,26,99],[0,0,63],[36,9,122]]"
real_only,simple_cnn,50,7,20,file_id_1,1,150,421,0.39667458432304037,0.2933151980533269,0.32684824902723736,0.0,0.5530973451327433,"[[42,52,97],[0,0,63],[24,18,125]]"
real_only,simple_cnn,50,8,20,file_id_1,1,150,421,0.44655581947743467,0.34650047938638545,0.4966442953020134,0.0,0.5428571428571428,"[[74,41,76],[0,0,63],[33,20,114]]"
real_only,simple_cnn,50,9,20,file_id_1,1,150,421,0.4251781472684085,0.32616487455197135,0.4229390681003584,0.0,0.5555555555555556,"[[59,50,82],[0,0,63],[29,18,120]]"
real_only,simple_cnn,full,0,20,file_id_2,2,1292,445,0.9415730337078652,0.9101700921332389,0.9216867469879518,0.8088235294117647,1.0,"[[153,22,0],[4,55,0],[0,0,211]]"
