method,n_real,n_syn,seed,train_sample_count,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
real_only,10,5,0,30,0.35019455252918286,0.35916963020788156,0.42857142857142855,0.17486338797814208,0.4740740740740741,"[[42,19,10],[77,16,26],[6,29,32]]"
noise_aug,10,5,0,45,0.3540856031128405,0.3663421099318535,0.35502958579881655,0.17989417989417988,0.5641025641025641,"[[30,30,11],[68,17,34],[0,23,44]]"
llm_closed_loop,10,5,0,45,0.3346303501945525,0.34294595308611076,0.4371584699453552,0.21,0.3816793893129771,"[[40,20,11],[70,21,28],[2,40,25]]"
rule_verified,10,5,0,45,0.36964980544747084,0.37024363609729466,0.3675675675675676,0.12121212121212122,0.6219512195121951,"[[34,24,13],[76,10,33],[4,12,51]]"
random_open_loop,10,5,0,45,0.40077821011673154,0.3886168910648715,0.42105263157894735,0.10526315789473684,0.6395348837209303,"[[40,17,14],[75,8,36],[4,8,55]]"
real_only,10,5,1,30,0.23346303501945526,0.20584045584045585,0.07692307692307693,0.2905982905982906,0.25,"[[4,44,23],[21,34,64],[8,37,22]]"
noise_aug,10,5,1,45,0.33073929961089493,0.2884075677753777,0.07272727272727272,0.4122137404580153,0.38028169014084506,"[[4,57,10],[27,54,38],[8,32,27]]"
llm_closed_loop,10,5,1,45,0.38132295719844356,0.30601121905469736,0.14285714285714285,0.5016722408026756,0.27350427350427353,"[[7,55,9],[19,75,25],[1,50,16]]"
rule_verified,10,5,1,45,0.21011673151750973,0.2270533436420977,0.18072289156626506,0.13953488372093023,0.3609022556390977,"[[15,50,6],[68,15,36],[12,31,24]]"
random_open_loop,10,5,1,45,0.27626459143968873,0.238508342869488,0.06818181818181818,0.28085106382978725,0.36649214659685864,"[[3,53,15],[12,33,74],[2,30,35]]"
real_only,10,5,2,30,0.32684824902723736,0.2980229912231449,0.08759124087591241,0.43724696356275305,0.36923076923076925,"[[6,61,4],[30,54,35],[30,13,24]]"
noise_aug,10,5,2,45,0.22568093385214008,0.19202912386553125,0.05172413793103448,0.31007751937984496,0.21428571428571427,"[[3,62,6],[27,40,52],[15,37,15]]"
llm_closed_loop,10,5,2,45,0.22178988326848248,0.19414575866188769,0.1,0.28888888888888886,0.1935483870967742,"[[6,58,7],[42,39,38],[1,54,12]]"
rule_verified,10,5,2,45,0.24124513618677043,0.24870002304824002,0.09859154929577464,0.2077922077922078,0.4397163120567376,"[[7,60,4],[56,24,39],[8,28,31]]"
random_open_loop,10,5,2,45,0.26848249027237353,0.2558261465664731,0.13636363636363635,0.311787072243346,0.31932773109243695,"[[9,59,3],[48,41,30],[4,44,19]]"
real_only,10,5,3,30,0.2723735408560311,0.2676853574399842,0.2251655629139073,0.2971887550200803,0.2807017543859649,"[[17,48,6],[57,37,25],[6,45,16]]"
noise_aug,10,5,3,45,0.2140077821011673,0.23245201314103614,0.27218934911242604,0.09433962264150944,0.3308270676691729,"[[23,42,6],[71,10,38],[4,41,22]]"
llm_closed_loop,10,5,3,45,0.35797665369649806,0.392997148941288,0.26285714285714284,0.25471698113207547,0.6614173228346457,"[[23,48,0],[74,27,18],[7,18,42]]"
rule_verified,10,5,3,45,0.3229571984435798,0.3426145583644286,0.20238095238095238,0.24390243902439024,0.5815602836879432,"[[17,48,6],[67,25,27],[13,13,41]]"
random_open_loop,10,5,3,45,0.311284046692607,0.33922397498023854,0.26666666666666666,0.22641509433962265,0.5245901639344263,"[[24,43,4],[76,24,19],[9,26,32]]"
real_only,10,5,4,30,0.27626459143968873,0.2867919703362742,0.24050632911392406,0.15151515151515152,0.46835443037974683,"[[19,43,9],[59,15,45],[9,21,37]]"
noise_aug,10,5,4,45,0.1828793774319066,0.18577763882338913,0.18791946308724833,0.17094017094017094,0.1984732824427481,"[[14,50,7],[55,20,44],[9,45,13]]"
llm_closed_loop,10,5,4,45,0.2918287937743191,0.27168254644257533,0.23880597014925373,0.3420074349442379,0.23423423423423423,"[[16,50,5],[47,46,26],[0,54,13]]"
rule_verified,10,5,4,45,0.25680933852140075,0.28367715390616155,0.26262626262626265,0.05405405405405406,0.5343511450381679,"[[26,42,3],[88,5,26],[13,19,35]]"
random_open_loop,10,5,4,45,0.33073929961089493,0.33031402421552863,0.2894736842105263,0.1092896174863388,0.5921787709497207,"[[22,40,9],[59,10,50],[0,14,53]]"
real_only,10,5,5,30,0.3229571984435798,0.32254332364870314,0.39751552795031053,0.2966101694915254,0.27350427350427353,"[[32,31,8],[58,35,26],[0,51,16]]"
noise_aug,10,5,5,45,0.22568093385214008,0.21254846078720188,0.189873417721519,0.27385892116182575,0.17391304347826086,"[[15,49,7],[55,33,31],[17,40,10]]"
llm_closed_loop,10,5,5,45,0.29571984435797666,0.29912335579569604,0.2891566265060241,0.29045643153526973,0.3177570093457944,"[[24,44,3],[64,35,20],[7,43,17]]"
rule_verified,10,5,5,45,0.24124513618677043,0.1823145638863796,0.4,0.04938271604938271,0.0975609756097561,"[[54,15,2],[106,4,9],[39,24,4]]"
random_open_loop,10,5,5,45,0.41245136186770426,0.41976803006214775,0.43243243243243246,0.23863636363636365,0.5882352941176471,"[[40,20,11],[68,21,30],[6,16,45]]"
real_only,10,5,6,30,0.3151750972762646,0.31493435550706556,0.36129032258064514,0.3025210084033613,0.2809917355371901,"[[28,35,8],[54,36,29],[2,48,17]]"
noise_aug,10,5,6,45,0.29961089494163423,0.24742034329525628,0.2158273381294964,0.4014336917562724,0.125,"[[15,51,5],[45,56,18],[8,53,6]]"
llm_closed_loop,10,5,6,45,0.3035019455252918,0.27523155715375397,0.3007518796992481,0.3684210526315789,0.1565217391304348,"[[20,41,10],[41,49,29],[1,57,9]]"
rule_verified,10,5,6,45,0.28793774319066145,0.2921002153639356,0.47126436781609193,0.15151515151515152,0.2535211267605634,"[[41,19,11],[58,15,46],[4,45,18]]"
random_open_loop,10,5,6,45,0.2178988326848249,0.20153580585745304,0.15126050420168066,0.26356589147286824,0.1897810218978102,"[[9,51,11],[39,34,46],[0,54,13]]"
real_only,10,5,7,30,0.41245136186770426,0.4205747353384961,0.39490445859872614,0.3283582089552239,0.5384615384615384,"[[31,24,16],[55,33,31],[0,25,42]]"
noise_aug,10,5,7,45,0.4085603112840467,0.4152424617744063,0.43312101910828027,0.2736842105263158,0.5389221556886228,"[[34,23,14],[52,26,41],[0,22,45]]"
llm_closed_loop,10,5,7,45,0.29571984435797666,0.3019275410003262,0.26277372262773724,0.22325581395348837,0.41975308641975306,"[[18,39,14],[48,24,47],[0,33,34]]"
rule_verified,10,5,7,45,0.245136186770428,0.25416112390902307,0.2972972972972973,0.11224489795918367,0.35294117647058826,"[[22,29,20],[55,11,53],[0,37,30]]"
random_open_loop,10,5,7,45,0.26848249027237353,0.263476575836815,0.18032786885245902,0.205607476635514,0.4044943820224719,"[[11,42,18],[40,22,57],[0,31,36]]"
real_only,10,5,8,30,0.44357976653696496,0.39388208122153073,0.07339449541284404,0.5236363636363637,0.5846153846153846,"[[4,63,4],[26,72,21],[8,21,38]]"
noise_aug,10,5,8,45,0.4280155642023346,0.4062462385652383,0.14516129032258066,0.4765625,0.5970149253731343,"[[9,55,7],[38,61,20],[6,21,40]]"
llm_closed_loop,10,5,8,45,0.4357976653696498,0.3756344726629748,0.15384615384615385,0.5360824742268041,0.4369747899159664,"[[8,53,10],[25,78,16],[0,41,26]]"
