accepted,accepted_expansion,accepted_round,class_name,raw_class_id,rounds_attempted,slot,status
True,0,3,normal_machining,1,4,0,accepted
True,2,2,lead_screw_anomaly,2,3,0,accepted
True,0,0,base_imbalance,3,1,0,accepted
False,,,normal_machining,1,4,1,exhausted
False,,,lead_screw_anomaly,2,4,1,exhausted
True,0,1,base_imbalance,3,2,1,accepted
False,,,normal_machining,1,4,2,exhausted
True,1,1,lead_screw_anomaly,2,2,2,accepted
True,0,1,base_imbalance,3,2,2,accepted
True,0,2,normal_machining,1,3,3,accepted
True,0,1,lead_screw_anomaly,2,2,3,accepted
True,0,2,base_imbalance,3,3,3,accepted
True,0,0,normal_machining,1,1,4,accepted
False,,,lead_screw_anomaly,2,4,4,exhausted
False,,,base_imbalance,3,4,4,exhausted
True,0,1,normal_machining,1,2,5,accepted
True,0,1,lead_screw_anomaly,2,2,5,accepted
True,0,1,base_imbalance,3,2,5,accepted
False,,,normal_machining,1,4,6,exhausted
True,0,0,lead_screw_anomaly,2,1,6,accepted
False,,,base_imbalance,3,4,6,exhausted
True,0,1,normal_machining,1,2,7,accepted
False,,,lead_screw_anomaly,2,0,7,pending
False,,,base_imbalance,3,0,7,pending
False,,,normal_machining,1,0,8,pending
False,,,lead_screw_anomaly,2,0,8,pending
False,,,base_imbalance,3,0,8,pending
False,,,normal_machining,1,0,9,pending
False,,,lead_screw_anomaly,2,0,9,pending
False,,,base_imbalance,3,0,9,pending
