comparison,holm_q,losses,mean_delta,median_delta,metric,n_real,p_raw,ties,wins
llm_closed_loop>real_only,0.9375,7,-0.010116731517509725,-0.013618677042801564,acc,10,0.7626953125,0,3
llm_closed_loop>noise_aug,0.9375,4,0.017120622568093387,0.005836575875486388,acc,10,0.3125,0,6
llm_closed_loop>random_open_loop,0.9375,5,0.007392996108949413,-0.005836575875486361,acc,10,0.4326171875,0,5
llm_closed_loop>rule_verified,0.05859375,2,0.04630350194552529,0.038910505836575904,acc,10,0.0146484375,0,8
llm_closed_loop>real_only,1.0,8,-0.018082900584396124,-0.020833788205781523,macro_f1,10,0.8623046875,0,2
llm_closed_loop>noise_aug,1.0,4,0.013167502030861486,0.009860143037838054,macro_f1,10,0.34765625,0,6
llm_closed_loop>random_open_loop,1.0,5,-0.007404304975759621,-0.0036099864076247767,macro_f1,10,0.615234375,0,5
llm_closed_loop>rule_verified,0.55078125,4,0.026374739099674038,0.02501384499190079,macro_f1,10,0.1376953125,0,6
llm_closed_loop>real_only,1.0,5,-0.011394616871491393,0.0034433412046281503,f1_normal_machining,10,0.615234375,0,5
llm_closed_loop>noise_aug,0.46484375,3,0.023132922180511845,0.049581184565485464,f1_normal_machining,10,0.1162109375,0,7
llm_closed_loop>random_open_loop,1.0,6,-0.004240717152274543,-0.020086580086580083,f1_normal_machining,10,0.5390625,0,4
llm_closed_loop>rule_verified,1.0,7,-0.04423893293190864,-0.03619466168934114,f1_normal_machining,10,0.947265625,0,3
llm_closed_loop>real_only,0.384765625,5,0.018415643459198713,0.0031461863170923754,f1_lead_screw_anomaly,10,0.384765625,0,5
llm_closed_loop>noise_aug,0.193359375,3,0.04336777536699522,0.023351665239632044,f1_lead_screw_anomaly,10,0.0966796875,0,7
llm_closed_loop>random_open_loop,0.0087890625,1,0.1075009865371694,0.07827845500208462,f1_lead_screw_anomaly,10,0.0029296875,0,9
llm_closed_loop>rule_verified,0.00390625,0,0.16647418031033767,0.140161542653237,f1_lead_screw_anomaly,10,0.0009765625,0,10
llm_closed_loop>real_only,1.0,7,-0.061269728340895724,-0.12158922422427033,f1_base_imbalance,10,0.9345703125,0,3
llm_closed_loop>noise_aug,1.0,6,-0.026998191454922594,-0.06375737191275581,f1_base_imbalance,10,0.75390625,0,4
llm_closed_loop>random_open_loop,1.0,8,-0.12547318431217375,-0.10938360854412393,f1_base_imbalance,10,0.986328125,0,2
llm_closed_loop>rule_verified,1.0,5,-0.04311103007940693,-0.033907248283341934,f1_base_imbalance,10,0.8125,0,5
llm_closed_loop>real_only,1.0,6,-0.01400778210116731,-0.019455252918287924,acc,25,0.71875,1,3
llm_closed_loop>noise_aug,1.0,6,-0.005058365758754868,-0.015564202334630323,acc,25,0.7216796875,0,4
llm_closed_loop>random_open_loop,1.0,6,-0.015953307392996104,-0.02140077821011674,acc,25,0.7841796875,0,4
llm_closed_loop>rule_verified,1.0,6,-0.017120622568093387,-0.017509727626459165,acc,25,0.8681640625,0,4
llm_closed_loop>real_only,1.0,7,-0.016810411052268437,-0.026671617935159014,macro_f1,25,0.7841796875,0,3
llm_closed_loop>noise_aug,1.0,6,-0.007308196090590288,-0.011018626208323279,macro_f1,25,0.65234375,0,4
llm_closed_loop>random_open_loop,1.0,7,-0.02395601611470836,-0.029166061142123972,macro_f1,25,0.919921875,0,3
llm_closed_loop>rule_verified,1.0,7,-0.020841187822899163,-0.02169872553683902,macro_f1,25,0.9033203125,0,3
llm_closed_loop>real_only,1.0,5,-0.029614288299091417,-0.011635095506063245,f1_normal_machining,25,0.8837890625,0,5
llm_closed_loop>noise_aug,1.0,6,-0.0354882468107428,-0.029014553508214122,f1_normal_machining,25,0.9677734375,0,4
llm_closed_loop>random_open_loop,1.0,6,-0.014924806342321868,-0.014228288238706324,f1_normal_machining,25,0.8125,0,4
llm_closed_loop>rule_verified,1.0,6,-0.013360110361503547,-0.012026854660783223,f1_normal_machining,25,0.8125,0,4
llm_closed_loop>real_only,1.0,6,0.0030981966885854696,-0.012593643178682445,f1_lead_screw_anomaly,25,0.5,0,4
llm_closed_loop>noise_aug,1.0,5,0.0118945750574415,-0.006181497893060273,f1_lead_screw_anomaly,25,0.4228515625,0,5
llm_closed_loop>random_open_loop,0.75,5,0.03469599928321417,0.020175490497716123,f1_lead_screw_anomaly,25,0.1875,0,5
llm_closed_loop>rule_verified,1.0,4,0.003247711026156655,0.024880960658069703,f1_lead_screw_anomaly,25,0.34765625,0,6
llm_closed_loop>real_only,1.0,6,-0.02391514154629934,-0.043052367479848364,f1_base_imbalance,25,0.6875,0,4
llm_closed_loop>noise_aug,1.0,5,0.0016690834815304867,-0.007185616006259415,f1_base_imbalance,25,0.5390625,0,5
llm_closed_loop>random_open_loop,1.0,7,-0.09163924128501733,-0.0739101979620708,f1_base_imbalance,25,0.9755859375,0,3
llm_closed_loop>rule_verified,1.0,7,-0.05241116413335056,-0.03026408451834442,f1_base_imbalance,25,0.8837890625,0,3
llm_closed_loop>real_only,1.0,8,-0.028793774319066136,-0.04085603112840466,acc,50,0.978515625,0,2
llm_closed_loop>noise_aug,1.0,5,-0.016731517509727616,-0.005836575875486388,acc,50,0.65234375,0,5
llm_closed_loop>random_open_loop,1.0,8,-0.04319066147859922,-0.03307392996108949,acc,50,0.9912109375,0,2
llm_closed_loop>rule_verified,1.0,5,-0.008949416342412442,-0.001945525291828759,acc,50,0.6796875,0,5
llm_closed_loop>real_only,1.0,7,-0.02790822173118382,-0.0312975179320695,macro_f1,50,0.9677734375,0,3
llm_closed_loop>noise_aug,1.0,4,-0.006046232443797858,0.01801000913391272,macro_f1,50,0.5,0,6
llm_closed_loop>random_open_loop,1.0,8,-0.03479160585796731,-0.03843675796732979,macro_f1,50,0.986328125,0,2
llm_closed_loop>rule_verified,1.0,6,-0.0066644292156384675,-0.02450690651051679,macro_f1,50,0.75390625,0,4
llm_closed_loop>real_only,0.6953125,5,0.01843146588389128,-0.0008500976943209421,f1_normal_machining,50,0.34765625,0,5
llm_closed_loop>noise_aug,0.64453125,4,0.013996174783198572,0.012800687910329574,f1_normal_machining,50,0.1611328125,0,6
llm_closed_loop>random_open_loop,0.6474609375,3,0.010073721547387216,0.01850741131913429,f1_normal_machining,50,0.2158203125,0,7
llm_closed_loop>rule_verified,0.6953125,6,0.0023605605503354637,-0.0068063275779115945,f1_normal_machining,50,0.615234375,0,4
llm_closed_loop>real_only,1.0,8,-0.06591067308267598,-0.07634032501589016,f1_lead_screw_anomaly,50,0.9814453125,0,2
llm_closed_loop>noise_aug,1.0,6,-0.03841761057580817,-0.04832365471742553,f1_lead_screw_anomaly,50,0.7841796875,0,4
llm_closed_loop>random_open_loop,1.0,8,-0.05452296446290197,-0.0614391617237917,f1_lead_screw_anomaly,50,0.9677734375,0,2
llm_closed_loop>rule_verified,1.0,6,-0.014257167083507494,-0.0077976260843415635,f1_lead_screw_anomaly,50,0.6875,0,4
llm_closed_loop>real_only,1.0,6,-0.03624545799476675,-0.04157151735864273,f1_base_imbalance,50,0.8837890625,0,4
llm_closed_loop>noise_aug,1.0,5,0.006282738461215992,0.005124186079925819,f1_base_imbalance,50,0.5,0,5
llm_closed_loop>random_open_loop,1.0,8,-0.05992557465838723,-0.09789008136574653,f1_base_imbalance,50,0.919921875,0,2
llm_closed_loop>rule_verified,1.0,5,-0.008096681113743375,-0.0253380690774912,f1_base_imbalance,50,0.65234375,0,5
