method,n_real,n_syn,seed,train_sample_count,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
real_only,10,0,0,30,0.39299610894941633,0.4016116170190873,0.42045454545454547,0.25806451612903225,0.5263157894736842,"[[37,19,15],[65,24,30],[3,24,40]]"
noise_aug,10,10,0,60,0.29571984435797666,0.3055654598832603,0.1258741258741259,0.28688524590163933,0.5039370078740157,"[[9,58,4],[60,35,24],[3,32,32]]"
s_a_directional,10,10,0,60,0.23735408560311283,0.2522629851548174,0.13245033112582782,0.14814814814814814,0.47619047619047616,"[[10,49,12],[70,16,33],[0,32,35]]"
real_only,10,0,1,30,0.2840466926070039,0.23593524505598165,0.07920792079207921,0.38202247191011235,0.2465753424657534,"[[4,57,10],[17,51,51],[9,40,18]]"
noise_aug,10,10,1,60,0.3151750972762646,0.2563011063011063,0.08080808080808081,0.42142857142857143,0.26666666666666666,"[[4,58,9],[19,59,41],[5,44,18]]"
s_a_directional,10,10,1,60,0.3035019455252918,0.32081661611862955,0.21476510067114093,0.21621621621621623,0.5314685314685315,"[[16,50,5],[62,24,33],[0,29,38]]"
real_only,10,0,2,30,0.2918287937743191,0.2540465125370786,0.11965811965811966,0.3849056603773585,0.25757575757575757,"[[7,58,6],[26,51,42],[13,37,17]]"
noise_aug,10,10,2,60,0.25680933852140075,0.2586314330278883,0.24060150375939848,0.2304147465437788,0.3048780487804878,"[[16,43,12],[34,25,60],[12,30,25]]"
s_a_directional,10,10,2,60,0.23346303501945526,0.253140464672201,0.2585034013605442,0.09302325581395349,0.40789473684210525,"[[19,51,1],[56,10,53],[1,35,31]]"
real_only,10,0,3,30,0.29961089494163423,0.31395258770052387,0.22784810126582278,0.26956521739130435,0.4444444444444444,"[[18,52,1],[58,31,30],[11,28,28]]"
noise_aug,10,10,3,60,0.25680933852140075,0.26041867954911435,0.3333333333333333,0.20444444444444446,0.24347826086956523,"[[29,39,3],[65,23,31],[9,44,14]]"
s_a_directional,10,10,3,60,0.3151750972762646,0.33296089818942204,0.2727272727272727,0.205607476635514,0.5205479452054794,"[[21,44,6],[62,22,35],[0,29,38]]"
