pseudo_heldout,baseline,normalization,n_real,seeds,acc_mean,acc_sd,macro_f1_mean,macro_f1_sd
N09_M07_F10,noise_aug,none,5,2,0.651150,0.169776,0.639950,0.194384
N09_M07_F10,noise_aug,none,10,2,0.501500,0.138452,0.423150,0.119430
N09_M07_F10,noise_aug,none,25,2,0.672300,0.032951,0.635900,0.045396
N09_M07_F10,noise_aug,per-window-rms,5,2,0.599400,0.000000,0.507600,0.000000
N09_M07_F10,noise_aug,per-window-rms,10,2,0.599400,0.000000,0.507600,0.000000
N09_M07_F10,noise_aug,per-window-rms,25,2,0.599400,0.000000,0.507600,0.000000
N09_M07_F10,real_only,none,5,2,0.299700,0.000000,0.153700,0.000000
N09_M07_F10,real_only,none,10,2,0.349300,0.070145,0.241400,0.124027
N09_M07_F10,real_only,none,25,2,0.695100,0.141987,0.694850,0.143189
N09_M07_F10,real_only,per-window-rms,5,2,0.594900,0.036487,0.540200,0.078206
N09_M07_F10,real_only,per-window-rms,10,2,0.599400,0.000000,0.507600,0.000000
N09_M07_F10,real_only,per-window-rms,25,2,0.598900,0.000707,0.507200,0.000566
N15_M01_F10,noise_aug,none,5,2,0.551300,0.037760,0.521250,0.011950
N15_M01_F10,noise_aug,none,10,2,0.633150,0.046457,0.597350,0.088883
N15_M01_F10,noise_aug,none,25,2,0.778050,0.001202,0.785500,0.000283
N15_M01_F10,noise_aug,per-window-rms,5,2,0.679650,0.014071,0.656350,0.011809
N15_M01_F10,noise_aug,per-window-rms,10,2,0.595150,0.008697,0.518500,0.058831
N15_M01_F10,noise_aug,per-window-rms,25,2,0.587650,0.021142,0.540500,0.036770
N15_M01_F10,real_only,none,5,2,0.299500,0.000000,0.153650,0.000071
N15_M01_F10,real_only,none,10,2,0.446250,0.207536,0.336200,0.258235
N15_M01_F10,real_only,none,25,2,0.679300,0.001838,0.674500,0.029981
N15_M01_F10,real_only,per-window-rms,5,2,0.564450,0.185474,0.524000,0.245649
N15_M01_F10,real_only,per-window-rms,10,2,0.515750,0.201172,0.455150,0.239073
N15_M01_F10,real_only,per-window-rms,25,2,0.615200,0.022486,0.562150,0.077004
N15_M07_F04,noise_aug,none,5,2,0.672450,0.206546,0.622050,0.277964
N15_M07_F04,noise_aug,none,10,2,0.627100,0.039457,0.582000,0.105217
N15_M07_F04,noise_aug,none,25,2,0.793250,0.005162,0.794600,0.004525
N15_M07_F04,noise_aug,per-window-rms,5,2,0.603700,0.000283,0.528200,0.015981
N15_M07_F04,noise_aug,per-window-rms,10,2,0.584250,0.021567,0.496000,0.014708
N15_M07_F04,noise_aug,per-window-rms,25,2,0.596250,0.009405,0.546450,0.045043
N15_M07_F04,real_only,none,5,2,0.332150,0.046315,0.220200,0.094187
N15_M07_F04,real_only,none,10,2,0.299400,0.000000,0.153600,0.000000
N15_M07_F04,real_only,none,25,2,0.733800,0.009334,0.734900,0.010324
N15_M07_F04,real_only,per-window-rms,5,2,0.615500,0.158816,0.570750,0.216445
N15_M07_F04,real_only,per-window-rms,10,2,0.501000,0.150189,0.417150,0.153371
N15_M07_F04,real_only,per-window-rms,25,2,0.590750,0.011950,0.541550,0.048013
N15_M07_F10,noise_aug,none,5,2,0.689400,0.240558,0.681550,0.250952
N15_M07_F10,noise_aug,none,10,2,0.621800,0.031537,0.550950,0.061165
N15_M07_F10,noise_aug,none,25,2,0.815950,0.022132,0.817150,0.020577
N15_M07_F10,noise_aug,per-window-rms,5,2,0.662450,0.027365,0.638250,0.032032
N15_M07_F10,noise_aug,per-window-rms,10,2,0.561550,0.023547,0.501300,0.094469
N15_M07_F10,noise_aug,per-window-rms,25,2,0.688600,0.021920,0.663450,0.016193
N15_M07_F10,real_only,none,5,2,0.300450,0.001202,0.163450,0.013789
N15_M07_F10,real_only,none,10,2,0.299600,0.000000,0.153700,0.000000
N15_M07_F10,real_only,none,25,2,0.677300,0.058124,0.677300,0.060811
N15_M07_F10,real_only,per-window-rms,5,2,0.551250,0.192969,0.499900,0.240841
N15_M07_F10,real_only,per-window-rms,10,2,0.509650,0.188727,0.449550,0.223516
N15_M07_F10,real_only,per-window-rms,25,2,0.600850,0.003323,0.551750,0.052397
