pseudo_heldout,baseline,normalization,n_real,seeds,acc_mean,acc_sd,macro_f1_mean,macro_f1_sd
N09_M07_F10,noise_aug,none,5,10,0.580240,0.131124,0.560070,0.150966
N09_M07_F10,noise_aug,none,10,10,0.535000,0.112817,0.501450,0.134693
N09_M07_F10,noise_aug,none,25,10,0.703680,0.072844,0.689270,0.083293
N09_M07_F10,noise_aug,per-window-rms,5,10,0.608760,0.089521,0.550780,0.106869
N09_M07_F10,noise_aug,per-window-rms,10,10,0.619110,0.041668,0.546610,0.064960
N09_M07_F10,noise_aug,per-window-rms,25,10,0.596710,0.007099,0.504020,0.007348
N09_M07_F10,real_only,none,5,10,0.316120,0.036941,0.185010,0.067083
N09_M07_F10,real_only,none,10,10,0.324410,0.070849,0.199390,0.094116
N09_M07_F10,real_only,none,25,10,0.618550,0.126891,0.592380,0.151339
N09_M07_F10,real_only,per-window-rms,5,10,0.573560,0.079467,0.518580,0.087287
N09_M07_F10,real_only,per-window-rms,10,10,0.608570,0.082742,0.555030,0.106368
N09_M07_F10,real_only,per-window-rms,25,10,0.583420,0.024319,0.499730,0.011671
N15_M01_F10,noise_aug,none,5,10,0.508160,0.164271,0.454420,0.178280
N15_M01_F10,noise_aug,none,10,10,0.551070,0.118075,0.506950,0.127385
N15_M01_F10,noise_aug,none,25,10,0.638770,0.109177,0.595150,0.143380
N15_M01_F10,noise_aug,per-window-rms,5,10,0.605210,0.079821,0.539200,0.115187
N15_M01_F10,noise_aug,per-window-rms,10,10,0.616210,0.061732,0.557100,0.081902
N15_M01_F10,noise_aug,per-window-rms,25,10,0.589610,0.038890,0.530960,0.051411
N15_M01_F10,real_only,none,5,10,0.360870,0.112847,0.225540,0.140847
N15_M01_F10,real_only,none,10,10,0.327540,0.094190,0.197340,0.114023
N15_M01_F10,real_only,none,25,10,0.566050,0.124924,0.513870,0.141237
N15_M01_F10,real_only,per-window-rms,5,10,0.460100,0.125377,0.379290,0.159757
N15_M01_F10,real_only,per-window-rms,10,10,0.509910,0.109892,0.438410,0.125880
N15_M01_F10,real_only,per-window-rms,25,10,0.573830,0.077263,0.505100,0.094539
N15_M07_F04,noise_aug,none,5,10,0.657180,0.100966,0.614580,0.136678
N15_M07_F04,noise_aug,none,10,10,0.621190,0.081038,0.573330,0.118862
N15_M07_F04,noise_aug,none,25,10,0.717580,0.081918,0.711390,0.089121
N15_M07_F04,noise_aug,per-window-rms,5,10,0.601630,0.089197,0.535730,0.116764
N15_M07_F04,noise_aug,per-window-rms,10,10,0.616230,0.055161,0.556940,0.074398
N15_M07_F04,noise_aug,per-window-rms,25,10,0.602000,0.037528,0.544410,0.055546
N15_M07_F04,real_only,none,5,10,0.369340,0.095296,0.247500,0.118534
N15_M07_F04,real_only,none,10,10,0.300530,0.003573,0.159450,0.018499
N15_M07_F04,real_only,none,25,10,0.639120,0.090730,0.603750,0.132597
N15_M07_F04,real_only,per-window-rms,5,10,0.462830,0.125267,0.378190,0.160603
N15_M07_F04,real_only,per-window-rms,10,10,0.494820,0.098535,0.420090,0.122676
N15_M07_F04,real_only,per-window-rms,25,10,0.570830,0.068099,0.500500,0.075418
N15_M07_F10,noise_aug,none,5,10,0.633730,0.135567,0.596520,0.167205
N15_M07_F10,noise_aug,none,10,10,0.628380,0.070979,0.574420,0.106320
N15_M07_F10,noise_aug,none,25,10,0.709590,0.113580,0.688850,0.134713
N15_M07_F10,noise_aug,per-window-rms,5,10,0.625420,0.079851,0.578970,0.108279
N15_M07_F10,noise_aug,per-window-rms,10,10,0.613600,0.071918,0.558550,0.099839
N15_M07_F10,noise_aug,per-window-rms,25,10,0.608320,0.060961,0.549480,0.077198
N15_M07_F10,real_only,none,5,10,0.345080,0.072668,0.216360,0.096057
N15_M07_F10,real_only,none,10,10,0.299630,0.000095,0.153860,0.000506
N15_M07_F10,real_only,none,25,10,0.610320,0.062205,0.565810,0.093726
N15_M07_F10,real_only,per-window-rms,5,10,0.458590,0.122817,0.367060,0.159093
N15_M07_F10,real_only,per-window-rms,10,10,0.515910,0.097024,0.441360,0.104923
N15_M07_F10,real_only,per-window-rms,25,10,0.563450,0.065973,0.502700,0.078278
