method,train_mode,n_real,seed,class_id,train_examples,checkpoint,stage,epoch,reconstruction_loss,supervisor_loss,discriminator_loss,generator_loss,noise_prediction_mse,smoke
timegan,full_train,5,0,0,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/full_train/nreal_5/seed_0/class_0.pt,embed,1,1.3759311437606812,,,,,True
timegan,full_train,5,0,0,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/full_train/nreal_5/seed_0/class_0.pt,supervisor,1,,0.37238824367523193,,,,True
timegan,full_train,5,0,0,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/full_train/nreal_5/seed_0/class_0.pt,joint,1,1.19758939743042,0.36455661058425903,1.3418679237365723,43.179561614990234,,True
timegan,full_train,5,0,1,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/full_train/nreal_5/seed_0/class_1.pt,embed,1,1.2794994115829468,,,,,True
timegan,full_train,5,0,1,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/full_train/nreal_5/seed_0/class_1.pt,supervisor,1,,0.43643948435783386,,,,True
timegan,full_train,5,0,1,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/full_train/nreal_5/seed_0/class_1.pt,joint,1,1.0733133554458618,0.42551228404045105,1.393028974533081,50.90675735473633,,True
timegan,full_train,5,0,2,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/full_train/nreal_5/seed_0/class_2.pt,embed,1,1.3672548532485962,,,,,True
timegan,full_train,5,0,2,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/full_train/nreal_5/seed_0/class_2.pt,supervisor,1,,0.3924202024936676,,,,True
timegan,full_train,5,0,2,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/full_train/nreal_5/seed_0/class_2.pt,joint,1,1.1751446723937988,0.3852567970752716,1.3527345657348633,48.52437973022461,,True
timegan,few_shot,5,0,0,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/few_shot/nreal_5/seed_0/class_0.pt,embed,1,1.3605672121047974,,,,,True
timegan,few_shot,5,0,0,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/few_shot/nreal_5/seed_0/class_0.pt,supervisor,1,,0.3778550922870636,,,,True
timegan,few_shot,5,0,0,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/few_shot/nreal_5/seed_0/class_0.pt,joint,1,1.18728506565094,0.3698938190937042,1.3397585153579712,43.73586654663086,,True
timegan,few_shot,5,0,1,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/few_shot/nreal_5/seed_0/class_1.pt,embed,1,1.2737797498703003,,,,,True
timegan,few_shot,5,0,1,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/few_shot/nreal_5/seed_0/class_1.pt,supervisor,1,,0.4313383400440216,,,,True
timegan,few_shot,5,0,1,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/few_shot/nreal_5/seed_0/class_1.pt,joint,1,1.0662493705749512,0.4204668700695038,1.3908392190933228,50.40476989746094,,True
timegan,few_shot,5,0,2,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/few_shot/nreal_5/seed_0/class_2.pt,embed,1,1.3723729848861694,,,,,True
timegan,few_shot,5,0,2,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/few_shot/nreal_5/seed_0/class_2.pt,supervisor,1,,0.39733922481536865,,,,True
timegan,few_shot,5,0,2,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/timegan/few_shot/nreal_5/seed_0/class_2.pt,joint,1,1.1780781745910645,0.39016881585121155,1.354622483253479,48.99178695678711,,True
ddpm,full_train,5,0,0,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/ddpm/full_train/nreal_5/seed_0/class_0.pt,ddpm,1,,,,,1.057219386100769,True
ddpm,full_train,5,0,1,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/ddpm/full_train/nreal_5/seed_0/class_1.pt,ddpm,1,,,,,1.0861138105392456,True
ddpm,full_train,5,0,2,8,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/ddpm/full_train/nreal_5/seed_0/class_2.pt,ddpm,1,,,,,1.2452802658081055,True
ddpm,few_shot,5,0,0,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/ddpm/few_shot/nreal_5/seed_0/class_0.pt,ddpm,1,,,,,1.0536755323410034,True
ddpm,few_shot,5,0,1,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/ddpm/few_shot/nreal_5/seed_0/class_1.pt,ddpm,1,,,,,1.0787872076034546,True
ddpm,few_shot,5,0,2,5,breeze/results/trained_baselines_2026-07-14/smoke_v4_dynamics/checkpoints/ddpm/few_shot/nreal_5/seed_0/class_2.pt,ddpm,1,,,,,1.248018503189087,True
